Crash ID,changes
343363,"- Barton
+ <PERSON>"
1261265,
343589,
343680,
1261189,
1260832,"- RESULTED
+ <PERSON>"
343658,
343308,
343443,
343291,
1262394,"- LEIN
+ <PERSON>"
343428,
1263354,
342988,"- Geddes.
+ <PERSON>."
343425,
344019,
343776,
343847,"- LANE,
+ <PERSON>,"
343936,"- LANE
+ <PERSON>
+ <PERSON>
- MERGE
- U1
- MERGE
+ <PERSON>
- LANE
+ <PERSON>"
343906,
340472,
344021,"+ <PERSON>
- OH
- 60
- F
- W"
343494,
343047,
343925,"- LANE
+ <PERSON>"
341633,
1266142,
344049,
343927,
344082,"- Nixon
+ <PERSON>"
343897,
1268342,"- \N\NVEHICLE#2
+ <PERSON>"
343537,
1268032,
343848,
343759,
344051,"- DETACHED
+ <PERSON>"
343953,"+ <PERSON>
- jack
- knifed"
343800,
343907,
343980,
343884,
1270062,
344076,
1269869,
1269521,"+ <PERSON>
- EXIT
- RAMP
+ ROADWAY/<PERSON>.
- ROADWAY/EXIT
- RAMP."
1271165,"- \N\NDRIVER
+ <PERSON>
+ <PERSON>
- VEHICLE#1
- COMPLAINED"
344047,
1270709,
343303,
1272793,
344018,
343935,
344080,
343628,
344201,
342258,
344287,
344038,
344181,
343978,
343851,
344268,
343852,
344267,
343944,
344194,"- LANE,
+ <PERSON>,
- LEIN
+ <PERSON>
+ <PERSON>.
- RICHARD
- ERICKSON.
- RICHARD,
+ <PERSON>,
- RICHARD
+ <PERSON>
- RICHARD
+ <PERSON>
- MERGE
+ <PERSON>"
343945,
344253,
344137,
344425,
344298,
344221,
344423,
344384,
344436,
1274858,
344276,
344383,
344161,
344447,
344591,
344391,
344297,
344350,"+ <PERSON>,
- Steven
- Lawton,
- Steven
+ <PERSON>
- Steven
+ <PERSON>
- Steven
+ <PERSON>
- Steven
+ <PERSON>"
344590,
1276061,
344239,
344643,
343743,
344280,
344434,
1278137,
1277883,"- RAMP
+ <PERSON>"
344414,
344210,
344380,
344377,
1278272,"- VEHICLE.
+ <PERSON>."
1278931,"+ <PERSON>
- RAMP
- 020C
- BEGAN
+ <PERSON>"
344645,
1279081,
344439,
344302,"- LANE.
+ <PERSON>.
- LANE
+ <PERSON>
- SWERVED
+ <PERSON>"
344541,"- LANE,
+ <PERSON>,
- LANE,
+ <PERSON>,"
344218,
1282112,"- PROCEEDED
+ <PERSON>
- LANE.
+ <PERSON>."
1281340,
344426,
1281560,"- SLID
+ <PERSON>"
344574,
344413,
1281771,
1282148,
344656,"- RECIEVED
+ <PERSON>"
344374,
344619,
344588,"+ <PERSON>
- VEHICLE
- ABRUPTLY"
344606,
344583,
344655,"- gaurd
+ <PERSON>
- gaurd
+ <PERSON>"
344727,
344552,"+ <PERSON>.
- JOSEPH
- MERCY."
344624,
344507,
1283973,
1284547,
344517,
344731,
1285696,
344913,
344108,
344788,
344654,"+ <PERSON>
- U1
- COLLIDED
- WITH"
344796,"- gaurd
+ <PERSON>
- gaurd
+ <PERSON>"
344755,
344748,"- Driver
+ <PERSON>"
344372,
344738,
344777,
1287019,
344650,
344652,
344680,
344782,
344696,
344850,
344747,
344737,
344784,
344919,
345295,
344968,
1288983,
344957,
344851,
345141,
345273,
345162,
345138,
345152,
345142,
1291502,
345384,
345184,
345143,
1291208,
345164,
345299,
345322,
345272,
345321,
345279,
1293336,
345274,
345445,
345157,
345198,
345448,
345563,
345482,
345268,
1295652,
345606,
345452,"- Driver
+ <PERSON>"
345451,
345242,"- LANE
+ <PERSON>
- MERGE
+ <PERSON>
+ <PERSON>
- U3
- DRIVER
- STATED
- LANE
+ <PERSON>
- SWERVED
+ <PERSON>"
345453,
1296253,
345442,
345369,
1296243,
345645,
344481,
345483,
345366,
345357,"- LANE
+ <PERSON>"
345450,
345857,
1297373,
345726,
345566,
345564,
1298916,
345637,
345678,
345729,
345348,"+ <PERSON>
- STRUCK
- DEBRIS"
341206,
1302459,
345571,
345789,
345584,"- LANE.
+ <PERSON>."
345588,
345458,
345898,
345776,
345524,
346022,
345909,
1303480,"- RD
+ <PERSON>"
346062,
345728,
346030,
345902,
1304975,
346035,
345883,
1304102,"+ <PERSON>
- AGAIN.\N\NIT
- WAS
- DETERMINED"
346064,
346176,
345992,
345921,
346017,
346187,
346284,
346041,
345991,
1306071,
345982,
345430,
345380,"+ <PERSON>
- FWY
- RAMP"
345228,
346010,"- LANE
+ <PERSON>"
346128,
346202,"- LANE
+ <PERSON>"
346056,
1306859,"- RD/EARHART
+ <PERSON>/EARHART
- PROCEEDED
+ <PERSON>"
1309072,
345967,
345896,
346181,
346174,"- LANE
+ <PERSON>"
346477,
1309882,
345507,"- LANE.
+ <PERSON>.
- GORE
+ <PERSON>"
346277,
346328,
346354,"- Driver
+ <PERSON>"
346271,"+ <PERSON>,
- STRUCK
- U2,
- U5.
+ <PERSON>."
1311127,"- LANE.
+ <PERSON>."
1310869,"- NIXON
+ <PERSON>"
1310773,
346393,
345461,
346020,"+ <PERSON>
- THOUGHT
- U2
- WAS
- GOING
- TO"
346378,
1314919,
1311830,
346150,
1311207,
346188,
343611,
1315106,
346219,
346499,
346364,
346339,
346337,
346427,
346497,
346159,
346015,"- SB
+ <PERSON>"
346518,
346566,
346631,
346419,
346281,
346615,
346389,
346625,"- NIXON
+ <PERSON>"
346067,
346384,
346498,
346714,
346099,
187601,
346717,
346719,
346690,
1315362,
346668,
346568,
1316121,"- NIXON
+ <PERSON>"
346646,
346040,
1315965,
346718,
346857,
346215,
1317330,
346964,
346574,
346938,
346573,
346826,
347069,
346591,
346896,
346851,
346597,
346724,
346817,
346598,
1319676,
1319572,"- VEHICLE
+ <PERSON>"
1319950,"- NIXON
+ <PERSON>"
1319891,
346024,
346869,
345901,
346661,
1321311,
346866,
346659,
346768,
1322469,
346755,
347033,
1322305,
346624,
1322639,
1321668,
1322958,"- NIXON
+ <PERSON>"
346925,
347026,"- Glass
+ <PERSON>"
1324504,
347193,
346965,
347119,"- LANE
+ <PERSON>"
346223,
1324777,"- JOSEPH
+ <PERSON>"
346296,
729504,
1325765,
347117,
347064,
347115,
346676,"+ <PERSON>.
- STRUCK
- U2."
347050,
347150,
346628,
1326392,"- LANE
+ <PERSON>"
347037,
1326974,
1327657,
1327192,
347162,
1327168,
1327218,
346919,"- gore
+ <PERSON>"
347167,
1328704,"- BEHINED
+ <PERSON>
+ <PERSON>
- 2\N\NUNIT
- 1
- CRASHED"
347297,
1328784,
347020,"- LANE
+ <PERSON>
- LANE.
+ <PERSON>."
347243,
347254,
1328894,
1330264,
347348,
1330213,
1331258,"- LANE
+ <PERSON>
- SWERVED
+ <PERSON>"
1330850,
1332739,"+ <PERSON>
- THIS
- RESULTED"
1331758,
