Crash ID,File Class,Incident #,Crash Date,Crash Time,No. of Units,Crash Type,Light,Road Surface Condition,Total Lanes,Speed Limit,Road Type,Driver Licence State,Age,Sex,Race,Total Occupants,Hazardous Action,Restraint,Airbag Deployed,Hospital,Ambulance,Year,Make,Color,Vehicle Type,Vehicle Direction,Vehicle Use,Action Prior,Narrative
1304684,93001,220077831,09/25/2022,12:07,02,Rear End,Daylight,Dry,01,45,ROAD,MI,33,M,W,01,Unable to Stop,Shoulder and Lap Belt,Not Deployed,REFUSED,REFUSED,2008,FORD,BLACK,"Passenger Car, SUV, Van",S,Private,Slowing/Stop on Roadway,"VEHICLE#2 WAS SLOWING OR STOPPED FOR TRAFFIC COMING OFF SB 23 RAMP INTO THE ROUNDABOUT. VEHICLE#2 WAS REAR ENDED BY VEHICLE#1.\N\NVEHICLE #1 STATED THAT HE COULD NOT STOP IN TIME AND REAR ENDED VEHICLE#2 CAUSING THE ACCIDENT. \N\NNO INJURIES REPORTED, MEDICAL REFUSED. "
0343620,93001,12266822,04/24/2022,19:25,02,Sideswipe-Same,Daylight,Wet,02,70,EXPY,MI,52,M,W,02,None,Shoulder and Lap Belt,Deployed - Combination,UNIV OF MICHIGAN HEALTH SYSTEM,HURON VALLEY AMB INC,2021,FORD,RED,"Passenger Car, SUV, Van",N,Private,Going Straight Ahead,Both vehicles were NB when the vehicle #2 began to change lanes and sideswiped vehicle #1 causing it to loose control and struck the concrete wall.   The driver of vehicle #2 failed to stop at the scene.  The occupants of vehicle #1 were transported to the UofM by HVA for treatment. 
0346012,93001,12772422,10/12/2022,21:33,03,Rear End,Dark-Unlighted,Wet,04,70,Suffix,OH,39,Not found,Not found,00,Careless Driving,Restraint Use Unknown,Unknown,NONE,NONE,2018,Model,VIN,Pickup Truck,SE,Action Prior,Going Straight Ahead,"VEHICLES 1 AND 2 WERE TRAVELING ON THE RAMP TO SB US 23 FROM THE US 23 / M-14 CONNECTOR.  VEHICLE 3 WAS TRAVELING ON THE RAMP TO CONTINUE ON EB M-14.  VEHICLE 1 COLLIDED WITH THE REAR OF VEHICLE 2 FOR AN UNKNOWN REASON, CAUSING VEHICLE 2 TO LOSE CONTROL AND VEER LEFT ONTO THE EB M-14 RAMP.  THE DRIVER OF VEHICLE 3 ATTEMPTED TO AVOID VEHICLE 2, BUT WAS UNABLE TO AND COLLIDED WITH VEHICLE 2 AS IT WAS SPINNING OUT OF CONTROL.  THE SECONDARY COLLISION CAUSED VEHICLE 2 TO CONTINUE INTO THE DITCH ON THE NORTH SIDE OF THE ROADWAY.  NO IDENTIFYING INFORMATION WAS OBTAINED FOR VEHICLE 1, WHICH FLED THE SCENE SB ON US 23.  THE COLLISION CAUSED DISABLING DAMAGE TO VEHICLES 2 AND 3.  THE DRIVER OF VEHICLE 2 WAS HOSPITALIZED FOR A HEAD INJURY.  THE DRIVER OF VEHICLE 3 COMPLAINED OF SHOULDER PAIN BUT DECLINED MEDICAL EVALUATION ON SCENE. "
0347021,93001,121029222,12/28/2022,14:40,02,Rear End,Daylight,Dry,01,60,Suffix,MI,21,M,W,01,Unable to Stop,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2016,TOYOTA,RED,"Passenger Car, SUV, Van",NE,Private,Starting Up on Roadway,Unit 2 was waiting to enter E M-14 but passed the stop sign in order to have a better view of traffic. Unit 1 was directly behind and assumed Unit 1 had entered the roadway. Unit 1 began to proceed to enter E M-14 but realized Unit 2 was still waiting and struck them. 
0344912,93001,12561522,08/04/2022,22:37,01,Single Motor Vehicle,Dark-Unlighted,Wet,03,70,Suffix,MI,18,F,W,03,Speed Too Fast,Shoulder and Lap Belt,Deployed - Front,NONE,NONE,2000,ACURA,SIL,"Passenger Car, SUV, Van",E,Private,Turning Right,U1 WAS EXITING M14 ONTO BARTON DRIVE WHEN IT LOST CONTROL AND STRUCK THE GUARDRAIL. 
0346943,93001,12923522,11/24/2022,10:45,02,Rear End,Daylight,Dry,02,65,Suffix,MI,26,F,W,01,Unable to Stop,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2012,CHRYSLER,BLK,"Passenger Car, SUV, Van",E,Private,Going Straight Ahead,"Both vehicles were stopped waiting to ramp onto EB M14 when the driver of vehicle #2 started to drive forward, but stopped.  The driver of vehicle #1 began accelerating, but rear ended vehicle #2 because it stopped waiting for its turn to ramp onto M14.  The driver of vehicle #1 was cited for failure to stop within assure clear distance. "
0343115,93001,12184922,03/18/2022,21:13,01,Single Motor Vehicle,Dark-Unlighted,Wet,02,70,Suffix,IL,19,M,A,01,Speed Too Fast,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2013,TOYOTA,SIL,"Passenger Car, SUV, Van",E,Private,Negotiating a Curve,VEHICLE 1 WAS TRAVELING EB ON M-14 AND WAS EXITING THE FREEWAY AT BARTON DR.  THE DRIVER LOST CONTROL WHILE NEGOTIATING THE CURVE ON THE EXIT RAMP AND SLID INTO THE GUARDRAIL ON THE EAST SIDE OF THE RAMP.  THE COLLISION CAUSED DISABLING DAMAGE TO THE LEFT FRONT CORNER OF THE VEHICLE.  NO INJURIES WERE REPORTED ON SCENE. 
0344595,93001,12486122,07/09/2022,14:03,02,Rear End,Daylight,Dry,01,Not found,Suffix,MI,22,M,W,02,Unable to Stop,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2021,CHEVROLET,ONG,"Passenger Car, SUV, Van",E,Private,Starting Up on Roadway,Unit 1 rear ended Unit 2 on EB M-14 at Barton Dr. Driver 1 stated he was looking at traffic to the left and thought Unit 2 had already gone. Driver 2 stated he was not familiar with the area so he started moving forward and stopped again to make sure the traffic was clear. 
0342184,93001,12101022,02/11/2022,16:35,03,Other,Daylight,Dry,03,70,Suffix,MI,55,M,W,01,Careless Driving,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2013,KENWORTH,RED,Truck / Bus,N,Commercial (Business),Going Straight Ahead,Vehicle #1 was north bound on US-23 in the right lane. Vehicle #2 was following vehicle #1. Vehicle #3 was north bound on US-23 in the left lane. Vehicle #1 was hauling construction equipment that struck the overpass. Debris fell from the overpass and struck Vehicle #2 and #3. Vehicle #1 jackknifed and was struck by Vehicle #3. 
0343821,54001,12776222,10/14/2022,09:00,02,Unknown,Daylight,Dry,02,70,Suffix,MI,30,Not found,Not found,00,Careless Driving,Restraint Use Unknown,Unknown,NONE,NONE,2008,DODGE,WHI,"Passenger Car, SUV, Van",S,Action Prior,Unknown,"The on scene investigation revealed there was a pedestrian hit by a motor vehicle several days prior the reported date. The victim was lying in the right ditch of S/B US-23. Based on the evidence on scene, the suspect vehicle is possibly a 2008-2013 white Dodge Caravan. The circumstances of the crash is currently unknown.  For further information please refer to the eAICS incident report. "
0344053,93001,12353022,05/26/2022,14:22,02,Head On,Daylight,Wet,02,70,Suffix,MI,22,F,W,01,Drove Wrong Way,Shoulder and Lap Belt,Deployed - Combination,NONE,REFUSED,2013,CHEVROLET,GRY,"Passenger Car, SUV, Van",N,Private,Slowing/Stop on Roadway,Unit 1 loss control and ran off the roadway to the left. Unit 1 crossed the median and struck Unit 2 head on. Driver 1 stated she tried to hit her brakes on the roadway and lost control of the vehicle. Driver 1 stated she remembers spinning out of control and she could not stop. Driver 2 stated she was traveling SB when she saw Unit 1 cross the median and enter into oncoming traffic. Driver 2 stated she tried to slow down but was unable to avoid the collision. 
0343590,93001,12287122,05/03/2022,11:30,02,Head On,Daylight,Wet,02,70,HWY,MI,22,F,W,01,Careless Driving,Shoulder and Lap Belt,Deployed - Combination,UNIV OF MICHIGAN HEALTH SYSTEM,HURON VALLEY AMB INC,2009,SATURN,BLK,"Passenger Car, SUV, Van",S,Private,Changing Lanes,"U1 DRIVER STATED SHE WAS TRAVELING SOUTH IN THE LEFT LANE WHEN SHE ATTEMPTED TO CHANGE LANES TO PASS SOMEONE. U1 DRIVER STATED SHE STARTED TO HYDROPLANE AS SHE WAS CHANGING LANES. U1 DRIVER STATED SHE LOST CONTROL OF THE VEHICLE, CROSSED THE GRASSY MEDIAN AND CRASHED INTO U2.  U2 DRIVER STATED HE WAS TRAVELING NORTH IN THE RIGHT LANE WHEN U1 SUDDENLY CROSSED THE MEDIAN AND CRASHED INTO HIM HEAD ON. U2 WAS UNABLE TO AVOID THE CRASH.  I SPOKE TO MULTIPLE WITNESSES ON SCENE, SOME WHICH WERE SOUTHBOUND BEHIND U1 AND SOME THAT WERE NORTHBOUND BEHIND U2.   THE WITNESSES TRAVELING NORTHBOUND WITH U2 STATED U1 CROSSED THE GRASSY MEDIAN AT A HIGH RATE OF SPEED AND CRASHED HEAD ON WITH U2.  THE WITNESSES TRAVELING SOUTHBOUND BEHIND U1 STATED U1 WAS TRAVELING AT A HIGH RATE OF SPEED, TAILGATING MULTIPLE VEHICLES AND WEAVING IN AN OUT OF TRAFFIC. U1 WAS OBSERVED ATTEMPTING TO CHANGE LANES AT A HIGH RATE OF SPEED, APPEARED TO HAVE CUT THE WHEEL TO HARD, LOST CONTROL AND CRASHED INTO U2 ON THE OTHER SIDE OF THE FREEWAY.   U1 DRIVER COMPLAINED OF CHEST AND ANKLE PAIN. U2 DRIVER COMPLAINED OF LEFT CHEST AND FACE PAIN. BOTH DRIVERS WERE TRANSPORTED TO U OF M HOSPITAL FOR EVALUATION. "
0342441,93001,1217822,01/08/2022,18:09,02,Sideswipe-Same,Dark-Unlighted,Dry,03,70,FWY,MI,41,F,U,01,Improper Passing,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2006,HONDA,MAR,"Passenger Car, SUV, Van",S,Private,Avoiding Vehicle Angle,"UNIT 1 WAS TRAVELING SB ON US23 WHEN IT SWERVED TO MISS A MERGING VEHICLE FROM THE SB ON RAMP FROM PLYMOUTH.  WHILE AVOIDING THE MERGING VEHICLE, UNIT 1 STRUCK UNIT 2.  NO INJURIES REPORTED AND BOTH VEHICLES WERE DRIVEN FROM THE SCENE. "
0345270,93001,12600022,08/18/2022,16:40,03,Rear End,Daylight,Dry,02,70,FWY,OH,68,M,W,05,Unable to Stop,Shoulder and Lap Belt,Deployed - Front,ST JOSEPH MERCY HOSPITAL,HURON VALLEY AMB INC,2008,CHEVROLET,GRY,"Passenger Car, SUV, Van",S,Private,Slowing/Stop on Roadway,ALL UNITS WERE TRAVELING SOUTH ON US 23 FWY IN THE LEFT LANE. U1 REAR ENDED U2 PUSHING U2 INTO U3.  ALL PASSENGERS FROM U1 WERE TRANSPORTED TO ST JOSEPH HOSPITAL.  U1 DRIVER HAD A BROKEN LEFT ARM WITH MULTIPLE LACERATIONS. U1 FRONT PASSENGER HAD SMALL CUTS ON HIS LEFT HAND. U1 REAR PASSENGER HAD LEFT HIP AND PELVIS INJURIES NOT VISIBLE. U1 REAR MIDDLE HAD NO INJURIES. U1 REAR DRIVER HAD A BRUISED RIGHT EYE AND FOREHEAD.  NO INJURIES IN U2 OR U3. 
0345832,93001,12797022,10/20/2022,23:00,01,Single Motor Vehicle,Dark-Unlighted,Dry,02,70,FWY,MI,49,M,W,01,None,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2012,CHRYSLER,WHI,"Passenger Car, SUV, Van",N,Private,Going Straight Ahead,U1 WAS TRAVELING NORTH ON US 23 FWY WHEN SUDDENLY A DEER ENTERED THE ROADWAY. U1 STUCK THE DEER. 
1236205,93001,220000896,01/04/2022,22:10,02,Other,Dark-Unlighted,Dry,05,45,DR,MI,22,F,W,00,Other,No Belts Available,Not Equipped,ST JOSEPH MERCY HOSPITAL,HURON VALLEY AMB INC,2015,Model,VIN,Special Vehicles,Not found,Action Prior,Crossing Not at Intersect,UNIT #2 WAS TRAVELING WEST ON HURON RIVER DR WHEN UNIT #2 STRUCK THE PEDESTRAIN (UNIT #1)WHO WAS CROSSING THE STREET IN A  NON DESGINATED WALKWAY DARKENDED AREA. \N\NPEDESTRAIN OR UNIT #1 WAS TRANSPORTED TO ST JOES ER WITH LIFE TREATNING INJURIES. 
1301985,93001,220075691,09/18/2022,11:55,02,Rear End,Daylight,Dry,02,45,ROAD,MI,68,F,W,01,Other,Shoulder and Lap Belt,Not Deployed,REFUSED,REFUSED,2020,Model,RED,"Passenger Car, SUV, Van",W,Private,Other,VEHICLE#1 WAS TRAVELING WB ON HRD AT CAMPUS DR AND WAS STOPPED FOR THE TRAFFIC BEHIND VEHICLE#2. DRIVER TOOK HER FOOT OFF BRAKE AND VEHICLE COLLIDED WITH VEHICLE#2. \N\NVEHICLE#2 WAS STOPPED FOR THE TRAFFIC LIGHT AT HRD AND CAMPUS DR AND WAS  REAR ENDED BY VEHICLE#1. \N\NVEHICLE #1 AT FAULT IN THE ACCIDENT.\N\NMEDICAL REFUSED AT THE SCENE AND NO ONE CLAIMED TO HAVE INJURIES FROM INCIDENT. 
0346549,93001,12880822,11/12/2022,15:15,02,Rear End,Daylight,Wet,03,70,Suffix,MI,33,M,W,01,Unable to Stop,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2016,FORD,BLK,"Passenger Car, SUV, Van",N,Private,Slowing/Stop on Roadway,Unit 1 rear ended Unit 2 while traveling NB on US 23. Driver 1 stated he looked down at his GPS for a moment and when he looked up traffic slowed down abruptly. Driver 2 stated traffic was slowing down in front of him when Unit 1 rear ended him. 
0346421,93001,12844422,11/03/2022,13:00,02,Sideswipe-Same,Daylight,Dry,02,70,FWY,MI,42,Not found,Not found,00,Failed to Yield,Restraint Use Unknown,Unknown,NONE,NONE,2017,Model,VIN,"Passenger Car, SUV, Van",Not found,Action Prior,Changing Lanes,Unit 2 was struck by an unknown tan sedan that was changing lanes. No plate was obtained and Unit 1 fled the scene. No injuries reported. 
0344411,93001,12440422,06/23/2022,14:21,02,Rear End,Daylight,Dry,01,Not found,Suffix,MI,19,Not found,Not found,00,Improper Passing,Restraint Use Unknown,Unknown,NONE,NONE,2012,FORD,WHI,Special Vehicles,Not found,Action Prior,Overtaking or Passing,Driver 1 stated she was on the entrance ramp to EB M-14 when a vehicle rear ended her and left the scene. Driver 1 advised there was a construction vehicle on the exit ramp which she began to pass when the vehicle hit her. Driver 1 stated the vehicle tried to go around her and the construction vehicle. 
0340767,93001,1226622,01/12/2022,13:20,02,Sideswipe-Same,Daylight,Dry,02,70,FWY,MI,65,M,B,01,Failed to Yield,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2012,CHRYSLER,WHI,"Passenger Car, SUV, Van",E,Private,Slowing/Stop on Roadway,Unit 1 attempted to get to the left shoulder to solve a mechanical issue. Unit 1 failed to yield to Unit 2. Unit 2 struck Unit 1. Unit 1 driver reported left hip pain. 
0342293,93001,123222,01/02/2022,08:46,01,Single Motor Vehicle,Daylight,Snow,02,70,FWY,CA,24,M,U,01,Speed Too Slow,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2016,VOLVO,WHI,Truck / Bus,N,Commercial (Business),Going Straight Ahead,Unit 1 lost control before running off the roadway right and coming to a stop in the ditch. No injuries reported. 
0342221,93001,1212522,01/06/2022,09:15,01,Single Motor Vehicle,Daylight,Snow,02,70,FWY,OH,24,M,A,01,Speed Too Fast,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2016,CHRY,WHI,"Passenger Car, SUV, Van",E,Private,Going Straight Ahead,U1 DRIVER ADVISED HE WAS TRAVELING EAST ON M14 WHEN HE LOST CONTROL ON SNOW AND COLLIDED WITH THE GUARDRAIL. 
0342233,93001,1214522,01/07/2022,09:50,02,Rear End,Daylight,Dry,03,70,FWY,MI,50,F,W,01,None,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2014,HONDA,BLK,"Passenger Car, SUV, Van",E,Private,Going Straight Ahead,U1 DRIVER ADVISED SHE WAS TRAVELING EAST ON M14 IN THE RIGHT LANE WHEN A DARK SEDAN TAILGATED HER. U1 DRIVER STATED THE  DRIVER OF U2 PULLED ALONG SIDE HER VEHICLE AND YELLED AT HER. U1 DRIVER ADVISED U2 THEN REAR ENDED HER AND LEFT THE SCENE. 
0342165,93001,1223822,01/11/2022,01:50,01,Single Motor Vehicle,Dark-Unlighted,Dry,02,70,Suffix,MI,20,M,A,01,Careless Driving,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2007,LEXUS,RED,"Passenger Car, SUV, Van",E,Private,Changing Lanes,The driver of unit 1 advised he was traveling SB on US 23 and intended to go EB on M14. The driver advised he got confused and thought he was taking the exit to M14 but instead drove into the median and crashed. 
0342375,93001,1234322,01/16/2022,16:50,01,Single Motor Vehicle,Daylight,Dry,04,70,Suffix,MI,29,M,B,01,Careless Driving,Shoulder and Lap Belt,Deployed - Combination,NONE,NONE,2012,CHEVROLET,MAR,"Passenger Car, SUV, Van",W,Private,Going Straight Ahead,The driver fell asleep while driving home.  The vehicle ran off the roadway and struck the guardrail causing damage.  No injuries were reported.   The driver was cited for careless driving. 
0342450,93001,1228422,01/13/2022,09:50,02,Rear End,Daylight,Dry,02,70,HWY,MI,19,M,W,01,Unable to Stop,Shoulder and Lap Belt,Deployed - Front,NONE,NONE,2013,DODGE,SIL,"Passenger Car, SUV, Van",N,Private,Going Straight Ahead,Driver #1 stated he was traveling N/b on US 23 travelilng straight ahead when he failed to stop before rear ending Driver #2.   Driver #2 stated he was traveling N/B on US 23 when he was rear ended by Driver #1. 
0342367,93001,1236222,01/17/2022,17:00,02,Other,Daylight,Dry,02,70,FWY,OH,49,M,U,01,Other,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2013,FORD,RED,"Passenger Car, SUV, Van",S,Private,Going Straight Ahead,Unit #2 was traveling north along US 23 when a wheel crossed the median into his lane of travel.  Unit #2 could not avoid the crash.  Unit #1 stopped to check on Unit #2 and advised the wheel was from his trailer. 
0342456,93001,1230122,01/14/2022,11:35,01,Single Motor Vehicle,Daylight,Dry,02,70,HWY,MI,23,M,U,01,None,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2011,FORD,WHI,"Passenger Car, SUV, Van",S,Private,Going Straight Ahead,"Driver stated he was headed S/B on US 23 near Geddes Rd when a deer entered his lane, causing him to crash into the deer. "
0342352,93001,1233522,01/16/2022,09:30,01,Single Motor Vehicle,Daylight,Ice,02,70,Suffix,MI,25,M,I,01,Speed Too Fast,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2007,HYUNDAI,RED,"Passenger Car, SUV, Van",N,Private,Changing Lanes,"U1 DRIVER STATED HE WAS TRAVELING NORTHBOUND IN THE LEFT LANE. U1 DRIVER STATED HE STARTED TO TRANSITION TO THE RIGHT LANE WHEN HE HIT SOME ICE AND LOST CONTROL OF THE VEHICLE. U1 PROCEEDED TO LOSE CONTROL AND SPIN INTO THE CENTER GRASSY MEDIAN. U1 RE-ENTERED THE ROADWAY INTO THE SOUTHBOUND LANES AND STRUCK THE GUARDRAIL ON THE RIGHT SHOULDER. U1 CAME TO REST FACING THE WRONG WAY ON THE RIGHT SHOULDER OF SOUTHBOUND US23.    NB LEFT LANE, CHANGING LANES TO RIGHT, SLIPPED, CROSSED MEDIAN, GUARDRAIL, FRONT LEFT "
0342373,93002,1232422,01/15/2022,16:30,01,Single Motor Vehicle,Daylight,Dry,03,70,EXPY,WI,23,F,W,01,None,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2011,KIA,BLK,"Passenger Car, SUV, Van",E,Private,Going Straight Ahead,"The vehicle was E/B on US23 when the vehicle lost power, the driver pulled over onto the shoulder.  The vehicle began smoking then caught on fire.  No injuries were reported. "
0342458,93001,1228622,01/14/2022,11:50,02,Rear End,Daylight,Dry,02,70,HWY,OH,56,Not found,U,00,Unknown,Restraint Use Unknown,Unknown,NONE,NONE,2018,FORD,BLK,"Passenger Car, SUV, Van",N,Action Prior,Going Straight Ahead,Driver stated she was traveling N/B on US 23 near Geddes Rd when a unknown ford taurus rear ended her and fled from the scene. Driver was unable to get any other information regarding the unknown vehicle. 
0342460,93001,1233422,01/16/2022,08:55,01,Single Motor Vehicle,Daylight,Ice,02,70,FWY,MI,25,F,W,01,Speed Too Fast,Shoulder and Lap Belt,Deployed - Front,NONE,NONE,2008,HONDA,GRY,"Passenger Car, SUV, Van",N,Private,Negotiating a Curve,Unit 1 lost control and ran off the roadway right. Unit 1 struck the guardrail end before coming to a stop in the ditch. No injuries reported. 
1236834,9300-1,220000722,01/07/2022,11:43,01,Single Motor Vehicle,Daylight,Dry,02,45,Suffix,MI,77,M,W,02,None,Shoulder and Lap Belt,Not Deployed,ST JOSEPH MERCY HOSPITAL,HURON VALLEY AMB INC,2013,CHRYSLER,RED,"Passenger Car, SUV, Van",S,Private,Going Straight Ahead,"VEHICLE #1 WAS DRIVING SOUTH ON US23 AND EXITED AT THE GEDDES RD OFF RAMP.  THE DRIVER HAD A MEDICAL CONDITION, WHICH CAUSED HIM TO LOSE CONSCIOUSNESS.  THE CAR WENT STRAIGHT ACROSS THE MEDIAN AT THE END OF THE EXIT RAMP AND WENT UP AND OVER THE MEDIAN.  THE CAR DROVE THROUGH THE ROUNDABOUT AND CAME TO REST ON THE GRASS ON THE SOUTH SIDE OF THE ROUNDABOUT. "
0342377,93001,1234922,01/16/2022,20:40,01,Single Motor Vehicle,Dark-Unlighted,Dry,01,70,Suffix,MI,20,F,B,01,None,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2019,FORD,WHI,"Passenger Car, SUV, Van",N,Private,Going Straight Ahead,Car Deer 
